SampleID,Run_TM,TM_BAM
LODBREAST22R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/119-LODBREAST22R2CT505T_S6578-S6778.deduplicated.bam
LODLIV12,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/8-LODLIV12CT492T_M561-M761.deduplicated.bam
LODLIV14,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/10-LODLIV14CT492T_M563-M763.deduplicated.bam
LODBREAST23,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/106-LODBREAST23CT504T_S6557-S6757.deduplicated.bam
LODLIV8R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/35-LODLIV8R2CT493T_M573-M773.deduplicated.bam
LIVER5R3,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/2-LIVER5R3CT495T_M580-M780.deduplicated.bam
LODBREAST23R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/120-LODBREAST23R2CT505T_S6579-S6779.deduplicated.bam
LODLIV15,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/42-LODLIV15CT493T_M581-M781.deduplicated.bam
LIVER5R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/34-LIVER5R2CT493T_M572-M772.deduplicated.bam
LODLIV21,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/65-LODLIV21CT494T_M587-M787.deduplicated.bam
LODBREAST24R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/114-LODBREAST24R1CT505T_S6573-S6773.deduplicated.bam
LODLIV11R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/38-LODLIV11R2CT493T_M576-M776.deduplicated.bam
LODBREAST24R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/121-LODBREAST24R2CT505T_S6580-S6780.deduplicated.bam
LODLIV16,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/43-LODLIV16CT493T_M582-M782.deduplicated.bam
LODLIV14R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/33-LODLIV14R1CT493T_M571-M771.deduplicated.bam
LODBREAST25R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/115-LODBREAST25R1CT505T_S6574-S6774.deduplicated.bam
LODLIV12R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/15-LODLIV12R1CT492T_M569-M769.deduplicated.bam
LODCRC24,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/7-LODCRC24CT495T_M551-M751.deduplicated.bam
LODBREAST26R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/116-LODBREAST26R1CT505T_S6575-S6775.deduplicated.bam
CRC8R15,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/4-CRC8R15CT485T_M569-M769.deduplicated.bam
LODLIV10R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/13-LODLIV10R1CT492T_M567-M767.deduplicated.bam
